[INFO: 2023-07-07 05:20:31,416] Start training...
[INFO: 2023-07-07 05:22:01,304] Start training...
[INFO: 2023-07-07 05:42:39,100] Epoch [36/100] Validation Loss: 0.4383, Accuracy: 94.20%
[INFO: 2023-07-07 05:42:54,525] Epoch [37/100] Validation Loss: 0.3866, Accuracy: 98.55%
[INFO: 2023-07-07 05:43:10,682] Epoch [38/100] Validation Loss: 0.3465, Accuracy: 100.00%
[INFO: 2023-07-07 05:43:28,220] Epoch [39/100] Validation Loss: 0.2990, Accuracy: 98.55%
[INFO: 2023-07-07 05:43:44,438] Epoch [40/100] Validation Loss: 0.2559, Accuracy: 100.00%
[INFO: 2023-07-07 05:44:00,353] Epoch [41/100] Validation Loss: 0.2341, Accuracy: 100.00%
[INFO: 2023-07-07 05:44:16,256] Epoch [42/100] Validation Loss: 0.2219, Accuracy: 100.00%
[INFO: 2023-07-07 05:44:32,043] Epoch [43/100] Validation Loss: 0.1892, Accuracy: 100.00%
[INFO: 2023-07-07 05:44:47,620] Epoch [44/100] Validation Loss: 0.1624, Accuracy: 100.00%
[INFO: 2023-07-07 05:45:02,832] Epoch [45/100] Validation Loss: 0.1401, Accuracy: 100.00%
[INFO: 2023-07-07 05:45:18,006] Epoch [46/100] Validation Loss: 0.1372, Accuracy: 100.00%
[INFO: 2023-07-07 05:45:33,800] Epoch [47/100] Validation Loss: 0.1133, Accuracy: 100.00%
[INFO: 2023-07-07 05:45:49,302] Epoch [48/100] Validation Loss: 0.1039, Accuracy: 100.00%
[INFO: 2023-07-07 05:46:05,304] Epoch [49/100] Validation Loss: 0.0940, Accuracy: 100.00%
[INFO: 2023-07-07 05:46:21,394] Epoch [50/100] Validation Loss: 0.0809, Accuracy: 100.00%
[INFO: 2023-07-07 05:46:37,176] Epoch [51/100] Validation Loss: 0.0845, Accuracy: 100.00%
[INFO: 2023-07-07 05:46:52,848] Epoch [52/100] Validation Loss: 0.0732, Accuracy: 100.00%
[INFO: 2023-07-07 05:47:10,311] Epoch [53/100] Validation Loss: 0.0677, Accuracy: 100.00%
[INFO: 2023-07-07 05:47:26,041] Epoch [54/100] Validation Loss: 0.0814, Accuracy: 98.55%
[INFO: 2023-07-07 05:47:41,610] Epoch [55/100] Validation Loss: 0.0539, Accuracy: 100.00%
[INFO: 2023-07-07 05:47:57,086] Epoch [56/100] Validation Loss: 0.0562, Accuracy: 100.00%
[INFO: 2023-07-07 05:48:12,285] Epoch [57/100] Validation Loss: 0.0431, Accuracy: 100.00%
[INFO: 2023-07-07 05:48:27,725] Epoch [58/100] Validation Loss: 0.0425, Accuracy: 100.00%
